timestamp,faceRotaion-x,faceRotaion-y,faceRotaion-z,faceRotaion-w,facePosition-x,facePosition-y,facePosition-z,deviceRotation-x,deviceRotation-y,deviceRotation-z,deviceRotation-w,devicePosition-x,devicePosition-y,devicePosition-z,rightEyePotision-x,rightEyePotision-y,rightEyePotision-z,leftEyePotision-x,leftEyePotision-y,leftEyePotision-z,rightEyeLookAtPosition-x,rightEyeLookAtPosition-y,rightEyeLookAtPosition-z,leftEyeLookAtPosition-x,leftEyeLookAtPosition-y,leftEyeLookAtPosition-z,rightEyeLookAtPoint-x,rightEyeLookAtPoint-y,leftEyeLookAtPoint-x,leftEyeLookAtPoint-y,centerEyeLookAtPoint-x,centerEyeLookAtPoint-y,rightEyeBlink,leftEyeBlink,rightEyeDistance,leftEyeDistance,operationType,operationPoint-x,operationPoint-y
2020111916292110600,-0.002065918,-0.005019973,-0.037683286,0.99927497,-0.007065628,-0.013824841,-0.28017038,0.102038644,-0.0055846646,-0.0044810288,0.9947546,0.0,0.0,0.0,-0.037531547,0.017306322,-0.2532851,0.027414422,0.0127094,-0.25253725,0.057157733,-0.16482095,1.7361529,-0.034039065,-0.15907736,1.7391235,-71.65640259,792.15789795,421.62695312,754.25836182,168.15428162,128.71826172,0.02632999,0.026330305,0.2566349,0.25433862,gazeTarget,234.00000000,475.00000000
2020111916292110800,-0.003869546,-0.0034309234,-0.035988,0.9993388,-0.0075148554,-0.014709765,-0.27991387,0.09993666,-0.0042480985,-0.0027027873,0.99498105,0.0,0.0,0.0,-0.037996385,0.01641288,-0.25303644,0.026966838,0.012037011,-0.25248846,0.06352323,-0.1574326,1.7368057,-0.027713673,-0.151973,1.740025,-67.39655304,794.38153076,426.17172241,758.13677979,169.04449463,128.12661743,0.02637056,0.026370972,0.25639918,0.2542096,gazeTarget,234.00000000,475.00000000
2020111916292111000,-0.0024021016,-0.003969361,-0.036645245,0.99931747,-0.007076382,-0.014325667,-0.2796795,0.09997403,-0.003854795,-0.002676476,0.994979,0.0,0.0,0.0,-0.037549388,0.016758647,-0.2527481,0.027407404,0.012296587,-0.2521358,0.061956678,-0.1623046,1.7367331,-0.029326227,-0.15673661,1.7399008,-65.44058228,790.86682129,428.23593140,753.95452881,170.21682739,128.37312317,0.026371922,0.026372345,0.2560711,0.25391895,gazeTarget,234.00000000,475.00000000
2020111916292111200,0.0017476898,-0.004397851,-0.036710344,0.9993147,-0.0068354337,-0.012684879,-0.27975053,0.10279641,-0.0031326073,-0.0024530776,0.9946944,0.0,0.0,0.0,-0.037336882,0.018178891,-0.25259858,0.027618758,0.013705422,-0.25194782,0.0589371,-0.17647699,1.7355764,-0.032349534,-0.17090923,1.73861,-67.59873962,784.18951416,426.06988525,747.26556396,171.46734619,129.21542358,0.026372844,0.026373252,0.25598937,0.25382736,gazeTarget,234.00000000,475.00000000
2020111916292111400,0.0022474993,-0.0055462,-0.036398657,0.99931943,-0.006363304,-0.012969282,-0.2798607,0.10279641,-0.0031326073,-0.0024530776,0.9946944,0.0,0.0,0.0,-0.036947276,0.017850697,-0.2527519,0.028009446,0.013417083,-0.25195363,0.053502206,-0.17903914,1.7354767,-0.037734985,-0.1735189,1.7382053,-71.35845947,776.74932861,422.32623291,740.28955078,172.66381836,130.27925110,0.026383888,0.026384216,0.25606105,0.25386053,gazeTarget,234.00000000,475.00000000
2020111916292111600,0.0045537627,-0.0061641424,-0.036667574,0.99929816,-0.006088814,-0.011903309,-0.28017735,0.10542853,-0.0030676501,-0.0032163896,0.9944169,0.0,0.0,0.0,-0.036694974,0.018808417,-0.2529709,0.02825827,0.014337464,-0.25210193,0.049960412,-0.18840462,1.7343773,-0.041130774,-0.18285236,1.7369432,-73.71668243,772.12811279,419.89053345,735.46264648,173.61439514,131.34251404,0.026965724,0.026964184,0.25630948,0.25408557,gazeTarget,234.00000000,475.00000000
2020111916292111800,0.0036668428,-0.0057860846,-0.035680603,0.99933976,-0.0060688183,-0.01232943,-0.28043145,0.10522938,-0.0026750453,-0.0031439166,0.9944394,0.0,0.0,0.0,-0.036713332,0.01836982,-0.2532541,0.028249282,0.014028194,-0.25243014,0.050649755,-0.1865874,1.7342974,-0.040346544,-0.18120453,1.7368357,-72.80839539,770.01470947,420.77865601,734.38568115,174.42410278,132.19145203,0.028106574,0.028103342,0.25655985,0.25439298,gazeTarget,234.00000000,475.00000000
2020111916292112000,0.0015858641,-0.005128319,-0.034128528,0.999403,-0.006309868,-0.013490871,-0.2805757,0.103327736,-0.0017133524,-0.0023527134,0.99464315,0.0,0.0,0.0,-0.037009772,0.017225772,-0.2534806,0.027967077,0.013087979,-0.25273353,0.052468438,-0.1791806,1.7348399,-0.038498286,-0.17405033,1.7373827,-73.03979492,769.21643066,420.57757568,735.20007324,175.14059448,132.72436523,0.028553827,0.0285501,0.2567467,0.25461283,gazeTarget,234.00000000,475.00000000
2020111916292112100,0.002406491,-0.0057138912,-0.034113206,0.9993988,-0.005833182,-0.013227248,-0.2806373,0.103327736,-0.0017133524,-0.0023527134,0.99464315,0.0,0.0,0.0,-0.036567464,0.017444897,-0.25353077,0.028408583,0.013308247,-0.2527106,0.04983914,-0.18136662,1.7346867,-0.041143533,-0.17623039,1.737073,-72.45475006,768.10247803,421.11172485,734.17388916,175.72189331,133.72485352,0.028547665,0.028543886,0.25674763,0.25465035,gazeTarget,234.00000000,475.00000000
2020111916292112200,0.003165062,-0.004537233,-0.033249263,0.9994318,-0.006314673,-0.013393936,-0.28075013,0.10248363,0.00052807265,-0.0016667723,0.9947331,0.0,0.0,0.0,-0.037039958,0.017181534,-0.25352445,0.027944904,0.013156996,-0.25285998,0.054161116,-0.18258366,1.7343831,-0.03683294,-0.17759864,1.7369682,-70.91896057,763.49151611,422.62097168,730.37921143,176.15104675,135.75976562,0.028331615,0.028327942,0.25679138,0.25473946,gazeTarget,234.00000000,475.00000000
