timestamp,faceRotaion-x,faceRotaion-y,faceRotaion-z,faceRotaion-w,facePosition-x,facePosition-y,facePosition-z,deviceRotation-x,deviceRotation-y,deviceRotation-z,deviceRotation-w,devicePosition-x,devicePosition-y,devicePosition-z,rightEyePotision-x,rightEyePotision-y,rightEyePotision-z,leftEyePotision-x,leftEyePotision-y,leftEyePotision-z,rightEyeLookAtPosition-x,rightEyeLookAtPosition-y,rightEyeLookAtPosition-z,leftEyeLookAtPosition-x,leftEyeLookAtPosition-y,leftEyeLookAtPosition-z,rightEyeLookAtPoint-x,rightEyeLookAtPoint-y,leftEyeLookAtPoint-x,leftEyeLookAtPoint-y,centerEyeLookAtPoint-x,centerEyeLookAtPoint-y,rightEyeBlink,leftEyeBlink,rightEyeDistance,leftEyeDistance,operationType,operationPoint-x,operationPoint-y
2020111916304532200,0.0046777087,-0.008836989,-0.039748587,0.99915963,-0.011523874,-0.017874349,-0.27584413,0.11979544,0.0007507769,-0.006353997,0.992778,0.0,0.0,0.0,-0.042453103,0.012623278,-0.2479293,0.023143388,0.007740274,-0.24669832,0.06700884,-0.13501084,1.7436084,-0.02594556,-0.12888236,1.7480259,-108.29674530,793.64630127,393.73529053,753.26214600,141.60900879,120.30496979,0.00016784592,0.00016799949,0.25185424,0.24790238,none,0.00000000,0.00000000
2020111916304532500,0.0049752533,-0.009241597,-0.03889284,0.9991883,-0.011466266,-0.017619438,-0.27581862,0.1201709,0.0005738517,-0.005519563,0.9927377,0.0,0.0,0.0,-0.04247114,0.012809852,-0.24791314,0.02313257,0.008038588,-0.2466297,0.06645964,-0.13601516,1.743565,-0.026515853,-0.13005885,1.7479792,-109.22251129,794.10882568,392.87487793,754.68316650,142.10026550,121.10825348,0.00015446993,0.00015461128,0.25185078,0.24784258,none,0.00000000,0.00000000
2020111916304532700,0.004870274,-0.009337208,-0.038698364,0.9991954,-0.0115706455,-0.017509265,-0.2757443,0.1201709,0.0005738517,-0.005519563,0.9927377,0.0,0.0,0.0,-0.042592436,0.012914211,-0.24785125,0.023012893,0.008168571,-0.24655464,0.06735321,-0.13563058,1.7435925,-0.025593879,-0.12972608,1.7480942,-109.20205688,795.81402588,392.99594116,756.59014893,142.52165222,121.53882599,0.00014215992,0.00014229,0.25181568,0.247761,none,0.00000000,0.00000000
2020111916304533000,0.004958253,-0.009204462,-0.037646048,0.9992364,-0.011488382,-0.017423622,-0.27565512,0.12014196,0.00049706554,-0.0043142736,0.99274725,0.0,0.0,0.0,-0.04256731,0.01292973,-0.24774931,0.023048185,0.008322252,-0.24646983,0.068613514,-0.13569751,1.7436193,-0.0243374,-0.12999429,1.7481788,-107.30236053,795.95874023,395.05517578,757.86566162,143.11711121,121.75160217,0.00013083091,0.00013095062,0.2517119,0.24768499,none,0.00000000,0.00000000
2020111916304533200,0.0050068013,-0.0091359345,-0.037381668,0.9992467,-0.011479748,-0.01733898,-0.27555567,0.120080486,0.00042572248,-0.003931783,0.9927563,0.0,0.0,0.0,-0.042571127,0.012995159,-0.24764284,0.023046972,0.008422382,-0.24637239,0.069959685,-0.13562812,1.7436501,-0.022978457,-0.1299848,1.7483019,-105.56703186,796.82690430,396.90554810,759.00421143,143.75941467,121.55144501,0.00012040474,0.0001205149,0.2516111,0.2475913,none,0.00000000,0.00000000
2020111916304533300,0.005093216,-0.009149124,-0.036942955,0.9992626,-0.011452664,-0.017273564,-0.2755227,0.12002875,0.00023809634,-0.003595039,0.9927638,0.0,0.0,0.0,-0.04257174,0.013028663,-0.24760608,0.02305032,0.008513382,-0.24633393,0.07137936,-0.1360805,1.7435701,-0.021525767,-0.13053767,1.7483286,-103.65550995,796.52697754,398.90927124,759.17181396,144.39952087,121.21289062,0.000110809444,0.00011091083,0.25157678,0.24755646,none,0.00000000,0.00000000
2020111916304533500,0.0053051063,-0.009380875,-0.03669789,0.99926823,-0.011365606,-0.017111285,-0.2755217,0.120260894,-0.0002081758,-0.0034300545,0.9927364,0.0,0.0,0.0,-0.042513,0.013164414,-0.24760787,0.02311064,0.008680884,-0.24630596,0.07187542,-0.13660012,1.7434939,-0.020979922,-0.13112122,1.7483147,-102.41142273,797.16156006,400.23034668,760.07818604,144.93731689,120.70386505,0.00010197882,0.000102072125,0.25157565,0.24754007,none,0.00000000,0.00000000
2020111916304533600,0.0056013833,-0.009712299,-0.03539003,0.9993107,-0.01122855,-0.01698501,-0.27556667,0.12054953,-0.0006957421,-0.0025507975,0.99270386,0.0,0.0,0.0,-0.042474568,0.013193835,-0.2476582,0.023159664,0.008881465,-0.2463129,0.07137868,-0.13689193,1.7434502,-0.021444283,-0.13166343,1.7482443,-102.68809509,796.99237061,400.06964111,761.35882568,145.19825745,120.02641296,9.385192e-05,9.39378e-05,0.25162023,0.24755867,none,0.00000000,0.00000000
2020111916304533700,0.005405209,-0.009110749,-0.03489685,0.99933475,-0.011403747,-0.017240508,-0.27557465,0.120155565,-0.0007066902,-0.0025152685,0.99275166,0.0,0.0,0.0,-0.04264583,0.012917433,-0.24763918,0.022994231,0.008670535,-0.24637185,0.07365985,-0.13576663,1.7434324,-0.019142848,-0.13062415,1.7483265,-101.23408508,795.79333496,401.58264160,760.65264893,145.60163879,119.43940735,8.6372675e-05,8.645171e-05,0.25161615,0.24759443,none,0.00000000,0.00000000
2020111916304533800,0.0054869265,-0.008480223,-0.034949075,0.9993381,-0.011567552,-0.017432828,-0.27554855,0.11986655,-0.0006260487,-0.0027523194,0.99278593,0.0,0.0,0.0,-0.042771645,0.012722285,-0.24756761,0.022869531,0.008468842,-0.24638355,0.07519758,-0.13606617,1.7433984,-0.017605558,-0.13090496,1.7483438,-100.38500214,793.37377930,402.46221924,758.13482666,146.24279785,119.14978027,7.9489466e-05,7.95622e-05,0.25155714,0.24758753,none,0.00000000,0.00000000
