timestamp,faceRotaion-x,faceRotaion-y,faceRotaion-z,faceRotaion-w,facePosition-x,facePosition-y,facePosition-z,deviceRotation-x,deviceRotation-y,deviceRotation-z,deviceRotation-w,devicePosition-x,devicePosition-y,devicePosition-z,rightEyePotision-x,rightEyePotision-y,rightEyePotision-z,leftEyePotision-x,leftEyePotision-y,leftEyePotision-z,rightEyeLookAtPosition-x,rightEyeLookAtPosition-y,rightEyeLookAtPosition-z,leftEyeLookAtPosition-x,leftEyeLookAtPosition-y,leftEyeLookAtPosition-z,rightEyeLookAtPoint-x,rightEyeLookAtPoint-y,leftEyeLookAtPoint-x,leftEyeLookAtPoint-y,centerEyeLookAtPoint-x,centerEyeLookAtPoint-y,rightEyeBlink,leftEyeBlink,rightEyeDistance,leftEyeDistance,targetPoint-x,targetPoint-y
2020111916283394600,0.02788435,-0.014779536,-0.017735494,0.9993445,-0.0015301532,-0.008227803,-0.27013442,0.10764511,-0.006364066,0.0144637525,0.9940638,0.0,0.0,0.0,-0.033800203,0.019203253,-0.24260066,0.031197974,0.017073361,-0.24063462,0.027494922,-0.48728484,1.691233,-0.061077684,-0.4863657,1.692765,-78.59653473,335.49172974,422.62094116,320.65209961,173.29618835,401.68017578,0.38333222,0.3818353,0.24569555,0.2432485,234.00000000,475.00000000
2020111916283395000,0.025423223,-0.014071955,-0.01711341,0.99943125,-0.0015133708,-0.008518119,-0.27133876,0.10778996,-0.0061471,0.014563953,0.994048,0.0,0.0,0.0,-0.033776365,0.019008972,-0.2438927,0.03122717,0.01696739,-0.24201192,0.03087414,-0.3950064,1.711718,-0.05883441,-0.39373207,1.7132927,-74.25224304,474.56863403,426.63397217,459.83053589,174.98094177,428.35491943,0.253798,0.25336105,0.24695309,0.24460743,234.00000000,475.00000000
2020111916283395300,0.025902478,-0.014309423,-0.017657738,0.99940604,-0.00072737085,-0.010880787,-0.2684468,0.09918801,-0.016686406,0.0017330926,0.9949273,0.0,0.0,0.0,-0.033015545,0.016997194,-0.24063548,0.032114487,0.014941476,-0.23869747,0.020307146,-0.19165622,1.7477355,-0.07296458,-0.18918628,1.7480812,-83.53681183,763.97619629,420.17962646,748.19738770,175.52774048,426.61111450,9.329845e-08,9.3331664e-08,0.24348381,0.24131115,234.00000000,475.00000000
2020111916283395500,0.025408255,-0.015977088,-0.016865823,0.9994072,-0.00030356948,-0.011142611,-0.26882434,0.098845676,-0.016285444,0.0018333867,0.9949677,0.0,0.0,0.0,-0.03272619,0.016717084,-0.24115144,0.032399952,0.0147601,-0.23899265,0.015881523,-0.19089001,1.7474501,-0.077344544,-0.18858364,1.7476143,-86.48260498,761.54852295,416.98025513,746.77801514,175.72348022,425.83728027,8.586331e-08,8.589388e-08,0.2439354,0.24163009,234.00000000,475.00000000
2020111916283395800,0.025181716,-0.017769603,-0.016809328,0.99938357,-4.7030982e-05,-0.011300445,-0.26924258,0.09868574,-0.015539077,0.0019454765,0.9949954,0.0,0.0,0.0,-0.032568842,0.016572988,-0.24170022,0.032549184,0.0146180745,-0.23930736,0.012754731,-0.19067037,1.747017,-0.08033569,-0.18841887,1.747155,-88.98434448,759.69909668,414.27386475,745.12664795,174.93225098,425.97607422,7.9020694e-08,7.904883e-08,0.24444711,0.24195278,234.00000000,475.00000000
2020111916283396100,0.024792328,-0.01832088,-0.01684692,0.99938273,-0.00012782603,-0.011443738,-0.2696209,0.09863067,-0.014171476,0.0023016236,0.9950205,0.0,0.0,0.0,-0.032676287,0.016455378,-0.24213608,0.03243887,0.014494795,-0.23967089,0.013586964,-0.18907644,1.7467371,-0.07935211,-0.18685627,1.7470251,-88.80436707,760.26147461,414.30212402,745.67083740,173.14236450,424.66400146,7.272338e-08,7.274927e-08,0.24488446,0.24229014,234.00000000,475.00000000
2020111916283396300,0.024819411,-0.017974619,-0.015928159,0.99940336,-0.00060021674,-0.011540562,-0.27003714,0.098686546,-0.011979438,0.0034639644,0.9950404,0.0,0.0,0.0,-0.033182602,0.016297277,-0.24253042,0.031937655,0.014457425,-0.24010737,0.016713344,-0.18794964,1.7463869,-0.07618278,-0.18592192,1.7468896,-89.39823151,759.76708984,413.42517090,746.13995361,169.39051819,398.98678589,6.692791e-08,6.695174e-08,0.2453318,0.24265322,234.00000000,475.00000000
2020111916283396600,0.024887081,-0.019146094,-0.015314287,0.9993895,-0.00029144957,-0.011672917,-0.27046642,0.09866472,-0.011366946,0.003922011,0.9950481,0.0,0.0,0.0,-0.032971635,0.016124614,-0.24303503,0.0321448,0.014360814,-0.2404575,0.015327759,-0.18768942,1.7459667,-0.0774522,-0.18580633,1.7464805,-89.08885956,757.74194336,413.52371216,744.86956787,167.51890564,337.75878906,6.159429e-08,6.161623e-08,0.24579088,0.24302126,234.00000000,475.00000000
2020111916283396900,0.024794033,-0.02030959,-0.015213271,0.99937046,0.00014191792,-0.011727548,-0.2708673,0.09882525,-0.01108109,0.004050059,0.9950348,0.0,0.0,0.0,-0.03260594,0.016071558,-0.24351832,0.03250457,0.014317461,-0.24078877,0.013359293,-0.1870185,1.7456126,-0.07932782,-0.18517661,1.7460921,-88.09033966,757.59564209,414.29171753,744.91894531,167.13745117,269.07495117,5.6685725e-08,5.6705908e-08,0.24621661,0.24339427,234.00000000,475.00000000
2020111916283397000,0.02405418,-0.020363813,-0.0142905,0.99940115,0.00011800317,-0.012062525,-0.27128208,0.09837167,-0.009933929,0.0049095275,0.99508804,0.0,0.0,0.0,-0.03268379,0.0157187,-0.24397962,0.032429427,0.014086779,-0.241239,0.01412601,-0.18472691,1.7453998,-0.07855739,-0.1830634,1.7459234,-87.70000458,756.73437500,414.33645630,745.06298828,165.78167725,214.26841736,5.216833e-08,5.21869e-08,0.24666041,0.24381624,234.00000000,475.00000000
2020111916283397100,0.024077551,-0.019947466,-0.013940647,0.99941385,-0.00021892782,-0.012012093,-0.2715796,0.09850749,-0.008392606,0.005225881,0.99508715,0.0,0.0,0.0,-0.03301846,0.015744306,-0.24424918,0.03209813,0.014159187,-0.24156171,0.015691739,-0.18546793,1.745007,-0.077019334,-0.18387547,1.745616,-88.73509216,755.58044434,413.00231934,744.26788330,164.79382324,172.08319092,4.8010932e-08,4.802802e-08,0.2469732,0.24409595,234.00000000,475.00000000
2020111916283397200,0.023724474,-0.020600261,-0.014168946,0.9994058,0.00011390951,-0.012049549,-0.27181786,0.09841948,-0.008231863,0.005372336,0.9950965,0.0,0.0,0.0,-0.032706738,0.015742816,-0.24454944,0.032405533,0.014126959,-0.2417772,0.014184382,-0.18500212,1.7447977,-0.07849655,-0.18337777,1.7453544,-87.69396973,755.89703369,413.85684204,744.38946533,163.48287964,143.78881836,4.4184848e-08,4.4200572e-08,0.24722864,0.24434792,234.00000000,475.00000000
